Unnamed: 0,영업팀,영업그룹,기준품목,월(AB),주(AB),메져_구분,SMSS_ATTR01,SMSS_ATTR02,SMSS_ATTR03,◆_AP1_S/I FCST_예상,◆_AP1_RTF_예상,◆_AP1_S/O FCST_예상,◆_실판매_모바일/유통직판 포함,◆_매출
,이커머스,SOP,냉장고,26Y01M,26Y02W,금액,4Door,7시리즈,,,,2486878.9,2486878.9,
,이커머스,SOP,냉장고,26Y01M,26Y02W,금액,4Door,7시리즈,AI 하이브리드,6886620.517,6886620.517,30561479.299999997,30561479.300000004,6886620.517
,이커머스,SOP,냉장고,26Y01M,26Y02W,금액,4Door,7시리즈,벤딩도어,321478156.74,321478156.74,1016531421.4000001,1016531421.4000002,321478156.7399999
,이커머스,SOP,냉장고,26Y01M,26Y02W,금액,TMF,,,-61496849.510000005,-61496849.510000005,117276965.3,117276965.30000004,-61496849.510000005
,이커머스,SOP,냉장고,26Y01M,26Y02W,금액,BMF,,,47970881.965,47970881.965,51001369.1,51001369.10000001,47970881.965
,이커머스,SOP,냉장고,26Y01M,26Y02W,금액,키친핏 1Door,,,246232252.777,246232252.777,396250310.5,396250310.49999994,246232252.777
,이커머스,SOP,냉장고,26Y01M,26Y03W,수량,,,,207.0,207.0,129.0,129.0,207.0
,이커머스,SOP,냉장고,26Y01M,26Y03W,수량,키친핏 4Door,7시리즈,,278.0,278.0,152.0,152.0,278.0
,이커머스,SOP,냉장고,26Y01M,26Y03W,수량,키친핏 4Door,7시리즈,AI 하이브리드,42.0,42.0,18.0,18.0,42.0
,이커머스,SOP,냉장고,26Y01M,26Y03W,수량,키친핏 SBS,7시리즈,,,,13.0,13.0,
,이커머스,SOP,냉장고,26Y01M,26Y03W,수량,키친핏 SBS,8시리즈,,23.0,23.0,0.0,0.0,23.0
,이커머스,SOP,냉장고,26Y01M,26Y03W,수량,"키친핏 1Door 18""",,,15.0,15.0,33.0,33.0,15.0
,이커머스,SOP,냉장고,26Y01M,26Y03W,수량,4Door,7시리즈,,,,0.0,0.0,
,이커머스,SOP,냉장고,26Y01M,26Y03W,수량,4Door,7시리즈,AI 하이브리드,,,6.0,6.0,
,이커머스,SOP,냉장고,26Y01M,26Y03W,수량,4Door,7시리즈,벤딩도어,621.0,621.0,343.0,343.0,621.0
,이커머스,SOP,냉장고,26Y01M,26Y03W,수량,TMF,,,197.0,197.0,204.0,204.0,197.0
,이커머스,SOP,냉장고,26Y01M,26Y03W,수량,BMF,,,9.0,9.0,36.0,36.0,9.0
,이커머스,SOP,냉장고,26Y01M,26Y03W,수량,키친핏 1Door,,,517.0,517.0,343.0,343.0,517.0
,이커머스,SOP,냉장고,26Y01M,26Y03W,금액,,,,184104620.287,184104620.287,165473227.7,165473227.70000002,184104620.28699997
,이커머스,SOP,냉장고,26Y01M,26Y03W,금액,키친핏 4Door,,,,,352000.0,352000.0,
,이커머스,SOP,냉장고,26Y01M,26Y03W,금액,키친핏 4Door,7시리즈,,578055754.94,578055754.94,388163041.2,388163041.2000003,578055754.9399998
,이커머스,SOP,냉장고,26Y01M,26Y03W,금액,키친핏 4Door,7시리즈,AI 하이브리드,103349611.654,103349611.654,52679401.5,52679401.50000001,103349611.654
,이커머스,SOP,냉장고,26Y01M,26Y03W,금액,키친핏 SBS,7시리즈,,,,20477601.1,20477601.1,
,이커머스,SOP,냉장고,26Y01M,26Y03W,금액,키친핏 SBS,8시리즈,,18209338.571,18209338.571,-217637.19999999995,-217637.19999999995,18209338.571
,이커머스,SOP,냉장고,26Y01M,26Y03W,금액,"키친핏 1Door 18""",,,14094722.171000002,14094722.171000002,38532869.1,38532869.1,14094722.171
,이커머스,SOP,냉장고,26Y01M,26Y03W,금액,4Door,,,,,396000.0,396000.0,
,이커머스,SOP,냉장고,26Y01M,26Y03W,금액,4Door,7시리즈,,,,1.1000000000931323,1.1000000000931323,
,이커머스,SOP,냉장고,26Y01M,26Y03W,금액,4Door,7시리즈,AI 하이브리드,,,15280740.200000001,15280740.2,
,이커머스,SOP,냉장고,26Y01M,26Y03W,금액,4Door,7시리즈,벤딩도어,852863183.293,852863183.293,801472623.6,801472623.6,852863183.293
,이커머스,SOP,냉장고,26Y01M,26Y03W,금액,TMF,,,-63796565.467,-63796565.467,116538152.5,116538152.50000004,-63796565.467
,이커머스,SOP,냉장고,26Y01M,26Y03W,금액,BMF,,,4303427.349,4303427.349,39795973.8,39795973.80000001,4303427.348999999
,이커머스,SOP,냉장고,26Y01M,26Y03W,금액,키친핏 1Door,,,505938508.493,505938508.493,483136164.5,483136164.49999976,505938508.49300003
,이커머스,SOP,냉장고,26Y01M,26Y04W,수량,,,,17.0,17.0,112.0,112.0,17.0
,이커머스,SOP,냉장고,26Y01M,26Y04W,수량,키친핏 4Door,7시리즈,,137.0,137.0,237.0,237.0,137.0
,이커머스,SOP,냉장고,26Y01M,26Y04W,수량,키친핏 4Door,7시리즈,AI 하이브리드,26.0,26.0,24.0,24.0,26.0
,이커머스,SOP,냉장고,26Y01M,26Y04W,수량,키친핏 SBS,7시리즈,,,,20.0,20.0,
,이커머스,SOP,냉장고,26Y01M,26Y04W,수량,키친핏 SBS,8시리즈,,,,3.0,3.0,
,이커머스,SOP,냉장고,26Y01M,26Y04W,수량,"키친핏 1Door 18""",,,29.0,29.0,42.0,42.0,29.0
,이커머스,SOP,냉장고,26Y01M,26Y04W,수량,4Door,7시리즈,,,,1.0,1.0,
,이커머스,SOP,냉장고,26Y01M,26Y04W,수량,4Door,7시리즈,AI 하이브리드,6.0,6.0,7.0,7.0,6.0
,이커머스,SOP,냉장고,26Y01M,26Y04W,수량,4Door,7시리즈,벤딩도어,383.0,383.0,231.0,231.0,383.0
,이커머스,SOP,냉장고,26Y01M,26Y04W,수량,TMF,,,239.0,239.0,213.0,213.0,239.0
,이커머스,SOP,냉장고,26Y01M,26Y04W,수량,BMF,,,10.0,10.0,19.0,19.0,10.0
,이커머스,SOP,냉장고,26Y01M,26Y04W,수량,키친핏 1Door,,,248.0,248.0,277.0,277.0,248.0
,이커머스,SOP,냉장고,26Y01M,26Y04W,금액,,,,15597336.114,15597336.114,144916455.2,144916455.20000005,15597336.114
,이커머스,SOP,냉장고,26Y01M,26Y04W,금액,키친핏 4Door,,,,,264000.0,264000.0,
,이커머스,SOP,냉장고,26Y01M,26Y04W,금액,키친핏 4Door,7시리즈,,284938138.939,284938138.939,605273544.7,605273544.6999999,284938138.93899995
,이커머스,SOP,냉장고,26Y01M,26Y04W,금액,키친핏 4Door,7시리즈,AI 하이브리드,63907852.38,63907852.38,70358730.2,70358730.2,63907852.38
,이커머스,SOP,냉장고,26Y01M,26Y04W,금액,키친핏 SBS,7시리즈,,,,31504004.4,31504004.4,
,이커머스,SOP,냉장고,26Y01M,26Y04W,금액,키친핏 SBS,8시리즈,,,,5381428.800000001,5381428.800000001,
,이커머스,SOP,냉장고,26Y01M,26Y04W,금액,"키친핏 1Door 18""",,,26818234.546000004,26818234.546000004,50387704.400000006,50387704.400000006,26818234.546000004
,이커머스,SOP,냉장고,26Y01M,26Y04W,금액,4Door,,,,,132000.0,132000.0,
,이커머스,SOP,냉장고,26Y01M,26Y04W,금액,4Door,7시리즈,,,,2486878.9,2486878.9,
,이커머스,SOP,냉장고,26Y01M,26Y04W,금액,4Door,7시리즈,AI 하이브리드,3841041.1439999994,3841041.1439999994,17827526.2,17827526.2,3841041.1439999994
,이커머스,SOP,냉장고,26Y01M,26Y04W,금액,4Door,7시리즈,벤딩도어,560754747.626,560754747.626,512699128.70000005,512699128.7,560754747.6260002
,이커머스,SOP,냉장고,26Y01M,26Y04W,금액,TMF,,,-94783807.825,-94783807.825,122731207.5,122731207.49999999,-94783807.82499999
,이커머스,SOP,냉장고,26Y01M,26Y04W,금액,BMF,,,5044781.561000001,5044781.561000001,20428431.1,20428431.1,5044781.560999999
,이커머스,SOP,냉장고,26Y01M,26Y04W,금액,키친핏 1Door,,,287225426.596,287225426.596,396713126.7,396713126.69999975,287225426.59599996
,이커머스,SOP,냉장고,26Y01M,26Y05WA,수량,,,,4.0,4.0,120.0,120.0,4.0
,이커머스,SOP,냉장고,26Y01M,26Y05WA,수량,키친핏 4Door,7시리즈,,78.0,78.0,178.0,178.0,78.0
,이커머스,SOP,냉장고,26Y01M,26Y05WA,수량,키친핏 4Door,7시리즈,AI 하이브리드,12.0,12.0,17.0,17.0,12.0
,이커머스,SOP,냉장고,26Y01M,26Y05WA,수량,키친핏 SBS,7시리즈,,,,18.0,18.0,
,이커머스,SOP,냉장고,26Y01M,26Y05WA,수량,키친핏 SBS,8시리즈,,,,9.0,9.0,
,이커머스,SOP,냉장고,26Y01M,26Y05WA,수량,"키친핏 1Door 18""",,,82.0,82.0,63.0,63.0,82.0
,이커머스,SOP,냉장고,26Y01M,26Y05WA,수량,4Door,7시리즈,,,,1.0,1.0,
,이커머스,SOP,냉장고,26Y01M,26Y05WA,수량,4Door,7시리즈,AI 하이브리드,,,13.0,13.0,
,이커머스,SOP,냉장고,26Y01M,26Y05WA,수량,4Door,7시리즈,벤딩도어,75.0,75.0,255.0,255.0,75.0
,이커머스,SOP,냉장고,26Y01M,26Y05WA,수량,TMF,,,17.0,17.0,194.0,194.0,17.0
,이커머스,SOP,냉장고,26Y01M,26Y05WA,수량,BMF,,,35.0,35.0,40.0,40.0,35.0
,이커머스,SOP,냉장고,26Y01M,26Y05WA,수량,키친핏 1Door,,,103.0,103.0,229.0,229.0,103.0
,이커머스,SOP,냉장고,26Y01M,26Y05WA,금액,,,,4900286.128,4900286.128,159709608.29999998,159709608.30000007,4900286.128
,이커머스,SOP,냉장고,26Y01M,26Y05WA,금액,키친핏 4Door,,,,,264000.0,264000.0,
,이커머스,SOP,냉장고,26Y01M,26Y05WA,금액,키친핏 4Door,7시리즈,,163606380.97899997,163606380.97899997,454462044.3000001,454462044.3,163606380.979
,이커머스,SOP,냉장고,26Y01M,26Y05WA,금액,키친핏 4Door,7시리즈,AI 하이브리드,29498712.608,29498712.608,50092181.7,50092181.70000001,29498712.608
,이커머스,SOP,냉장고,26Y01M,26Y05WA,금액,키친핏 SBS,7시리즈,,,,28353614.3,28353614.3,
,이커머스,SOP,냉장고,26Y01M,26Y05WA,금액,키친핏 SBS,8시리즈,,,,16144286.4,16144286.399999999,
