Unnamed: 0,영업팀,영업그룹,파트,대표거래선,기준품목,월(AB),주(AB),메져_구분,SMSS_ATTR01,SMSS_ATTR02,SMSS_ATTR03,◆_AP1_S/I FCST_예상,◆_AP1_RTF_예상,◆_AP1_S/O FCST_예상,◆_실판매_모바일/유통직판 포함,◆_매출
,이커머스,SOP,NC,유니씨앤씨,세탁기,25Y07M,25Y28W,수량,15kg↓,,,,,1.0,1.0,
,이커머스,SOP,NC,유니씨앤씨,세탁기,25Y07M,25Y28W,금액,15kg↓,,,,,459466.7,459466.7,
,이커머스,SOP,NC,유니씨앤씨,건조기,25Y07M,25Y28W,수량,,,,,,1.0,1.0,
,이커머스,SOP,NC,유니씨앤씨,건조기,25Y07M,25Y28W,금액,,,,,,677311.7999999999,677311.7999999999,
,이커머스,SOP,NP,인컴씨앤씨,냉장고,25Y09M,25Y39W,수량,키친핏 1Door,,,,,1.0,1.0,
,이커머스,SOP,NP,인컴씨앤씨,냉장고,25Y09M,25Y39W,금액,키친핏 1Door,,,,,5987999.6,5987999.6,
,이커머스,SOP,NP,인컴씨앤씨,의류청정기,25Y01M,25Y01WB,수량,3벌,,,,,1.0,1.0,
,이커머스,SOP,NP,인컴씨앤씨,의류청정기,25Y01M,25Y01WB,금액,3벌,,,,,1598999.6,1598999.6,
,이커머스,SOP,가전,회산,세탁기,25Y01M,25Y01WB,수량,,,,1.0,1.0,45.0,45.0,1.0
,이커머스,SOP,가전,회산,세탁기,25Y01M,25Y01WB,수량,25kg,,,18.0,18.0,23.0,23.0,18.0
,이커머스,SOP,가전,회산,세탁기,25Y01M,25Y01WB,수량,24kg,,,,,5.0,5.0,
,이커머스,SOP,가전,회산,세탁기,25Y01M,25Y01WB,수량,21-20kg,,,87.0,87.0,12.0,12.0,87.0
,이커머스,SOP,가전,회산,세탁기,25Y01M,25Y01WB,금액,,,,253556.75899999996,253556.75899999996,22157725.7,22157725.699999996,253556.75899999996
,이커머스,SOP,가전,회산,세탁기,25Y01M,25Y01WB,금액,25kg,,,33949619.898,33949619.898,67843604.4,67843604.4,33949619.898
,이커머스,SOP,가전,회산,세탁기,25Y01M,25Y01WB,금액,24kg,,,,,6313043.0,6313043.0,
,이커머스,SOP,가전,회산,세탁기,25Y01M,25Y01WB,금액,21-20kg,,,73289657.424,73289657.424,15255540.3,15255540.3,73289657.424
,이커머스,SOP,가전,회산,세탁기,25Y01M,25Y02W,수량,,,,125.0,125.0,131.0,131.0,125.0
,이커머스,SOP,가전,회산,세탁기,25Y01M,25Y02W,수량,25kg,,,34.0,34.0,200.0,200.0,34.0
,이커머스,SOP,가전,회산,세탁기,25Y01M,25Y02W,수량,24kg,,,-1.0,-1.0,15.0,15.0,-1.0
,이커머스,SOP,가전,회산,세탁기,25Y01M,25Y02W,수량,21-20kg,,,173.0,173.0,70.0,70.0,173.0
,이커머스,SOP,가전,회산,세탁기,25Y01M,25Y02W,금액,,,,45293421.61999999,45293421.61999999,71258280.5,71258280.5,45293421.61999999
,이커머스,SOP,가전,회산,세탁기,25Y01M,25Y02W,금액,25kg,,,64960405.127000004,64960405.127000004,408586482.7,408586482.7,64960405.127000004
,이커머스,SOP,가전,회산,세탁기,25Y01M,25Y02W,금액,24kg,,,-1147825.0,-1147825.0,18939129.0,18939129.0,-1147825.0
,이커머스,SOP,가전,회산,세탁기,25Y01M,25Y02W,금액,21-20kg,,,145677000.22199997,145677000.22199997,89780255.4,89780255.4,145677000.22199994
,이커머스,SOP,가전,회산,세탁기,25Y01M,25Y03W,수량,,,,254.0,254.0,153.0,153.0,254.0
,이커머스,SOP,가전,회산,세탁기,25Y01M,25Y03W,수량,25kg,,,33.0,33.0,259.0,259.0,33.0
,이커머스,SOP,가전,회산,세탁기,25Y01M,25Y03W,수량,24kg,,,,,16.0,16.0,
,이커머스,SOP,가전,회산,세탁기,25Y01M,25Y03W,수량,21-20kg,,,321.0,321.0,244.0,244.0,321.0
,이커머스,SOP,가전,회산,세탁기,25Y01M,25Y03W,금액,,,,96574381.973,96574381.973,87057772.99999999,87057773.0,96574381.97300002
,이커머스,SOP,가전,회산,세탁기,25Y01M,25Y03W,금액,25kg,,,62240969.813,62240969.813,466484428.3,466484428.29999995,62240969.813
,이커머스,SOP,가전,회산,세탁기,25Y01M,25Y03W,금액,24kg,,,,,20201737.6,20201737.6,
,이커머스,SOP,가전,회산,세탁기,25Y01M,25Y03W,금액,21-20kg,,,280797819.677,280797819.677,316951619.59999996,316951619.6,280797819.67700005
,이커머스,SOP,가전,회산,세탁기,25Y01M,25Y04W,수량,,,,144.0,144.0,165.0,165.0,144.0
,이커머스,SOP,가전,회산,세탁기,25Y01M,25Y04W,수량,25kg,,,387.0,387.0,249.0,249.0,387.0
,이커머스,SOP,가전,회산,세탁기,25Y01M,25Y04W,수량,24kg,,,,,17.0,17.0,
,이커머스,SOP,가전,회산,세탁기,25Y01M,25Y04W,수량,21-20kg,,,1251.0,1251.0,157.0,157.0,1251.0
,이커머스,SOP,가전,회산,세탁기,25Y01M,25Y04W,금액,,,,50254634.42600001,50254634.42600001,92179843.80000001,92179843.80000001,50254634.426
,이커머스,SOP,가전,회산,세탁기,25Y01M,25Y04W,금액,25kg,,,408742910.9250001,408742910.9250001,465750958.20000005,465750958.1999998,408742910.925
